word_german,word_english,semantic_category,exemplar_generation_n_20,exemplar_generation_percent,typical_M,typical_SD,aoa_M,aoa_SD,familiar_M,familiar_SD,frequency,frequency_log,phonemes,syllables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flamingo,flamingo,bird,4,0.20,3.15,1.76,4.65,1.23,2.35,1.27,0.37,-0.43,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steinadler,golden eagle,bird,1,0.05,2.45,1.47,4.84,1.38,2.25,0.97,0.11,-0.94,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goldkehlchen,goldenthroat,bird,1,0.05,2.47,1.43,5.26,1.37,1.89,1.18,0.01,-2.09,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stieglitz,goldfinch,bird,4,0.20,2.61,1.85,5.53,1.42,2.06,1.12,0.52,-0.29,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gans,goose ,bird,9,0.45,2.35,1.84,1.75,0.72,2.95,1.32,9.64,0.98,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habicht,goshawk,bird,10,0.50,2.45,1.76,4.35,1.04,2.70,1.42,1.77,0.25,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graugans,graylag goose,bird,1,0.05,3.30,1.95,4.41,1.54,2.10,0.97,0.46,-0.34,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haubentaucher,great crested grebe,bird,2,0.10,2.95,1.96,5.05,1.28,2.30,1.26,0.22,-0.66,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kohlmeise,great tit,bird,4,0.20,1.30,0.80,4.15,1.73,2.40,1.05,0.03,-1.49,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grünspecht,green woodpecker,bird,1,0.05,2.60,1.67,4.17,1.34,1.85,0.88,0.11,-0.94,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grünfink,greenfinch,bird,4,0.20,2.75,1.74,5.15,1.39,2.30,1.26,0.04,-1.39,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falke,hawk,bird,9,0.45,2.45,1.50,3.80,1.36,2.85,1.18,2.20,0.34,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reiher,heron,bird,8,0.40,3.05,1.73,4.21,1.72,2.55,1.23,1.19,0.07,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nebelkrähe,hooded crow,bird,1,0.05,3.00,1.84,4.85,1.50,2.05,1.23,0.14,-0.86,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kolibri,hummingbird,bird,5,0.25,3.00,1.56,4.90,1.17,2.65,1.14,0.59,-0.23,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eichelhäher,jay,bird,5,0.25,2.37,1.64,5.16,1.38,2.53,1.35,0.28,-0.56,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turmfalke,kestrel,bird,1,0.05,2.90,1.71,5.30,1.26,2.15,1.14,0.09,-1.05,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eisvogel,kingfisher,bird,4,0.20,3.16,1.98,5.17,1.76,2.16,0.90,0.40,-0.40,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elster,magpie,bird,15,0.75,1.32,0.67,3.75,0.97,3.20,1.44,1.70,0.23,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flugente,muscovy duck,bird,1,0.05,3.60,1.82,4.50,1.61,2.50,1.36,0.02,-1.79,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nachtigall,nightingale,bird,8,0.40,1.45,1.00,3.90,0.97,2.80,1.15,2.93,0.47,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eule,owl,bird,13,0.65,2.30,1.53,2.75,1.02,3.00,1.56,3.32,0.52,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sittich,parakeet,bird,1,0.05,2.55,1.73,4.22,1.56,2.65,1.46,0.35,-0.45,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papagei ,parrot,bird,9,0.45,2.40,1.57,2.60,1.10,2.75,0.97,3.45,0.54,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfau,peacock,bird,4,0.20,3.00,1.59,3.80,1.15,3.05,1.19,1.80,0.25,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pelikan,pelican,bird,5,0.25,3.00,1.81,3.90,1.41,2.45,1.00,0.70,-0.15,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasan,pheasant,bird,5,0.25,3.05,1.79,4.65,1.42,2.80,1.06,1.50,0.17,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rabe,raven,bird,9,0.45,2.25,1.77,3.00,0.79,3.40,1.19,4.31,0.63,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rotkehlchen,robin,bird,11,0.55,1.55,0.94,3.15,0.81,3.30,1.22,0.47,-0.33,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
käuzchen,screech owl,bird,2,0.10,3.25,1.86,4.90,1.62,2.63,1.30,None,None,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seeadler,sea eagle,bird,1,0.05,2.75,1.71,4.70,1.22,2.60,1.27,0.73,-0.14,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
möwe,seagull,bird,8,0.40,1.55,1.00,2.60,0.99,3.40,0.99,3.08,0.49,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
