word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
insane,5.31,5.83,2.8,,5.03,4.12,3.96,,4.63,2.85
insanity,5.42,,3.1,,4.49,,4.23,,4.03,
insatiable,5.31,,3.66,,5.13,,4.1,,5.56,
inscribe,5.19,,4,,5.51,,4.58,,5.87,
inscription,5.01,,4.85,,5.03,,4.92,,5.03,
insect,5.16,4.07,5.41,6.51,4.57,4.56,5.06,5.95,4.26,4.07
insecticide,5.38,,4.95,,4.34,,4.88,,3.33,
insecure,5.65,5.56,2.84,,4.96,2.33,4.11,,4.6,2.36
insecurity,5.36,,3.03,,4.75,,3.96,,4.5,
insensitive,5.58,,3.09,,5.57,,3.61,,5.94,
inseparable,5.81,,3.39,,5.84,,4.76,,6.99,
insert,4.64,,4.74,,5.29,,4.52,,5.55,
insertion,4.84,,4.43,,4.8,,4.5,,4.81,
inside,4.38,,5.2,,4.98,,5.01,,5.35,
insight,5.42,,2.97,2.6,5.67,,3.59,3.35,6.52,
insignificant,5.17,,2.99,,5.33,,3.84,,6.04,
insist,5.32,,2.95,,5.14,,3.75,,5.01,
insistence,4.92,,3.16,2.51,5.27,,3.8,3.3,5.41,
insistent,4.67,,4.42,,4.82,,5.32,,5.21,
insofar,4.99,,2.94,,5.74,,3.49,,6.36,
insolation,4.96,,4.63,,5.44,,5.08,,6.55,
insolence,5.44,,4,2.2,5.06,,4.57,4.05,4.97,
insolent,5.77,5.38,3.29,,4.69,4.5,4.24,,3.91,4.35
insoluble,4.74,,4.98,,5.09,,4.67,,5.2,
insomnia,5.55,,3.44,,3.84,,4.36,,2.88,
inspect,4.71,,4.85,,4.78,,4.69,,4.71,
inspection,4.77,,4.33,,4.91,,4.38,,4.99,
inspector,5.26,,3.9,,5.1,,4.25,,5.22,
inspiration,5.46,,3.22,,6.09,,4.22,,6.94,
inspire,5.74,5,3.34,,6.12,6.34,4.36,,6.89,6.97
inspiring,5.63,,3.27,,5.9,,4.48,,6.9,
instability,5.45,,3.46,,5.28,,4.07,,5.13,
install,4.38,,5.1,,5.09,,4.58,,5.19,
installation,4.43,,4.93,,5.3,,4.44,,5.51,
instalment,5.2,,3.86,,5.2,,4.03,,5.49,
instance,4.97,,2.9,2.31,5.54,,3.18,2.41,6.26,
instant,5.58,,4.43,,4.75,,5.11,,4.32,
