word_english,letters_N,frequency_M_log,familiar_M_American,familiar_M_British,imagine_M_British,aoa_M_log,imagine_M_American,transparency_M,Lexeme_Meaning_Dominance_M,Length_first_lexeme_M,Frequency_first_lexeme_M,familiar_M_first_lexeme,aoa_M_log_first_lexeme,imagine_M_first_lexeme,bilabial,labiodental,dental,labiovelar,postalvelolar,alveolar,palatal,palatal.alveolar,glottal,velar,voiced,length_second_lexeme_M,frequency_second_lexeme_M,familiar_M_second_lexeme,aoa_M_log_second_lexeme,imagine_M_second_lexeme
joyride,7,2.11,6.36,5.57,4.23,0.763427994,3.52,4.73,6.13,3,4.53,5.45,0.505149978,3.7,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,4,4.78,5.62,0.477121255,4.6
keepsake,8,2.57,6.21,5.7,3.37,0.716003344,2.9,3.46,2.93,4,5.72,5.84,0.477121255,2.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4,4.49,1,0.707570176,2.3
killjoy,7,2.54,5.64,5.93,3.03,0.768391413,2.05,5,4.43,4,4.91,5.36,0.544068044,4.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,4.53,5.45,0.505149978,3.7
kneecap,7,2.67,7,6.7,6.7,0.486666573,5.81,5.4,4.6,4,4.26,5.99,0.380211242,6.4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,4.42,1,0.462397998,6.2
knighthood,10,3.26,5.57,5.6,4.53,0.681241237,3.86,4.47,3.07,6,4.19,4.13,0.602059991,6.4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,3.95,5.41,0.556302501,6.2
lampshade,9,2.71,6.71,6.43,6.67,0.556302501,6.05,6.13,5.53,4,4.09,5.78,0.491361694,6.6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,5,3.98,5.09,0.591064607,4.3
leapfrog,8,2.72,6.07,6.13,5.9,0.505149978,6,4.93,4.27,4,4.12,5.39,0.544068044,4.9,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,4,4.05,5.07,0.380211242,6.7
lengthwise,10,1.84,5.71,5.23,3.53,0.737722593,3.14,3.07,1.8,6,4.45,5.91,0.612783857,3.7,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,4,4.53,5.02,0.591064607,2.9
livestock,9,3.75,6.57,5.93,5.9,0.716003344,5.95,4.27,4.47,4,5.5,6.08,0.505149978,3.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,5,4.65,4.79,0.322219295,3.8
loathsome,9,2.5,5.71,4.97,2.9,0.77815125,1.76,3.47,1.87,5,2.69,1,0.740362689,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,4,6.27,5.78,0.69019608,2
loincloth,9,1.95,5.21,2.67,2.17,0.704722333,5.29,5.47,6,4,3.47,1,0.748188027,2.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,5,4.01,5.29,0.414973348,6
loophole,8,3.14,6.71,6.4,3.47,0.748188027,2.81,4.14,6.87,4,3.82,4.57,0.591064607,2.5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,4,4.76,5.45,0.51851394,5.8
maidservant,11,1.7,5.36,4.23,4.2,0.721535832,4.43,5.29,4.67,4,3.77,1,0.591064607,6.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,4.02,4.37,0.462397998,6.1
makeshift,9,3.3,6.07,5.57,2.93,0.758407192,2.67,2.8,4.2,4,6.14,6.18,0.462397998,2.8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.44,4.97,0.672097858,3.6
marketplace,11,3.37,6.86,6.2,6.07,0.514104821,6.48,5.79,3.2,6,5.22,5.18,0.636487896,6.3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.78,6.12,0.681241237,3.7
mealtime,8,2.24,6.71,6.7,5.43,0.467361417,4.43,5.93,4.07,4,4.53,6.03,0.462397998,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,6.35,6.04,0.491361694,4.2
meanwhile,9,4.48,6.21,6.43,2.3,0.656417654,1.43,2.71,7.07,4,5.71,5.39,0.505149978,2.8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.45,5.43,0.477121255,2
meatball,8,2.76,7,6.7,6.87,0.315270435,6.86,6.29,4.71,4,4.8,5.94,0.491361694,6.3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,5.33,5.75,0.568201724,6.6
milestone,9,3.33,6.5,6.07,3.07,0.704722333,3.05,2.21,3.36,4,4.62,5.68,0.591064607,4.7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.84,5.13,0.342422681,6.6
molehill,8,2.35,4.21,5.1,4.77,0.721535832,3.1,4.73,6.46,4,3.73,4.84,0.602059991,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4.71,5.85,0.505149978,6.3
motherland,10,2.63,6.07,5.67,3.67,0.742986833,3.1,4.73,6.67,6,5.29,6.32,0.356025857,6.8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,5.18,5.74,0.462397998,6
muskrat,7,1.95,4.93,1.73,1.4,0.710399466,3.62,2.8,7.53,4,2.8,1,0.740362689,3.7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,4.23,5.48,0.491361694,6.8
nickname,8,3.93,7,6.63,3.17,0.505149978,3.24,3.36,8.67,4,5.03,1,0.698970004,2.3,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,5.61,5.73,0.447158031,4.2
nursemaid,9,2.2,4.21,4.67,4.6,0.726998728,4.33,4.87,4.4,5,4.5,5.09,0.531478917,6.4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,3.77,1,0.397940009,6.1
oneself,7,2.92,6.71,6.23,4.57,0.649983544,2.9,6.13,6.53,3,6.56,6.13,0.230448921,4.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4.83,6.04,0.591064607,4.3
outbid,6,2.62,6,5.5,3.17,0.73239376,2.67,3.79,6.73,3,6.48,6.08,0.414973348,2.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,5.14,4.73,0.505149978,3.4
oxcart,6,0.696,2.36,1.67,1.67,0.748188027,3.52,4.85,6.46,2,3.39,3.64,0.556302501,6.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,3.77,4.54,0.662757832,6
paintbrush,10,3.17,6.93,6.67,6.8,0.315270435,6.67,6.33,5.73,5,4.7,5.51,0.491361694,6.3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4.29,5.79,0.531478917,6.2
pawnshop,8,1.95,5.64,5.6,5,0.763427994,5.29,5.54,7.07,4,3.27,4.77,0.72427587,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5.05,6.15,0.462397998,5.5
peppermint,10,2.91,6.93,6.4,5.33,0.447158031,5.52,3.53,7.53,6,4.38,5.54,0.537819095,6.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4.15,5.35,0.568201724,5.4
