word_english,aoa_M,RT_M,aoa_SD,RT_SD
coaster,4.91,2569,1.32,2611
cobalt,5.82,1759,1.11,1207
cobbler,4.97,2226,1.41,2850
cobra,4.18,2547,1.49,2653
cocaine,5.94,2203,0.91,1998
cocktail,5.91,1734,0.89,851
cocky,5.24,2101,1.19,1415
cocoa,4.00,2117,1.39,1237
cocoon,4.21,2064,1.29,944
coed,5.33,1775,1.11,851
coffee,3.91,2041,1.00,2150
coffin,4.21,1718,0.97,750
cola,3.67,1767,1.24,1023
collage,5.12,1948,1.25,1212
collapse,4.94,3043,0.89,4627
collar,4.48,3347,1.18,6851
collect,4.33,1825,1.22,1661
college,4.94,2400,1.06,1875
collide,4.94,2445,1.17,2733
cologne,5.09,1629,1.16,705
colon,5.58,2336,1.19,2048
color,2.61,2161,1.20,1807
column,4.91,1803,1.19,1043
coma,4.88,1799,1.31,913
combat,5.03,1546,1.12,1291
combine,4.67,2059,1.06,1306
comet,4.85,1650,1.22,872
comfort,4.15,1894,1.33,810
comic,4.03,1992,1.27,2029
coming,3.64,1709,1.14,1475
comma,4.61,3040,1.32,5826
command,4.55,2041,1.35,1633
commence,5.39,2393,1.39,3255
commend,5.30,1730,1.32,1516
comment,4.61,1837,1.11,1182
commerce,5.58,2078,1.24,2807
commit,5.00,1979,1.05,1570
common,4.55,2343,1.23,1739
commune,5.76,1663,1.13,978
commute,5.45,2208,1.01,3683
compact,5.00,2795,1.05,3953
compare,4.61,2307,1.16,2372
compass,4.67,2061,0.97,2511
compel,5.45,1381,1.26,928
compete,4.67,2364,1.06,2235
compile,5.42,1473,1.04,681
complain,3.88,2405,1.05,2448
complaint,4.88,1974,1.09,1510
complete,4.03,2054,1.08,1210
complex,5.33,1569,1.11,872
comply,5.70,1808,1.13,1440
compose,5.21,1828,1.13,1376
compost,5.42,1520,1.19,772
compound,5.45,1466,1.13,1039
compress,5.30,2300,1.19,1692
compute,5.48,1794,1.33,1227
conceal,5.39,2293,1.16,2435
concede,5.73,1859,0.96,1184
conceive,5.15,1991,1.40,1527
concept,5.18,1709,1.18,1364
concern,5.03,2218,1.00,1885
concert,4.12,2039,0.88,1418
conclude,5.03,1689,1.03,1280
concrete,4.30,2110,1.05,1083
concur,5.70,1761,1.24,1182
condemn,5.70,2099,1.24,1077
condo,5.24,2129,1.01,1832
condom,6.30,1783,0.76,1110
condone,6.00,1519,1.00,715
condor,6.21,2200,0.84,3953
conduct,5.24,2255,0.98,2242
confer,6.00,1511,1.23,1143
confess,4.45,1978,1.13,1992
confide,5.48,3846,1.10,7547
confine,5.67,1853,1.11,994
confirm,5.15,2802,1.09,7131
conflict,4.79,2677,1.08,5875
conform,5.39,1777,1.27,1066
confound,5.97,1861,1.05,1869
confront,5.00,2113,1.08,1248
confuse,4.55,2337,1.18,2471
conga,5.42,1885,1.46,1440
